IDX,mean_ndvi_2022-06-02,mean_ndvi_2022-06-17,mean_ndvi_2022-06-07,mean_ndvi_2022-06-22,mean_ndvi_2022-06-12,mean_ndre_2022-06-02,mean_ndre_2022-06-17,mean_ndre_2022-06-07,mean_ndre_2022-06-12,IDX.1,sum_ndvi_2022-06-02,sum_ndvi_2022-06-17,sum_ndvi_2022-06-07,sum_ndvi_2022-06-22,sum_ndvi_2022-06-12,sum_ndre_2022-06-02,sum_ndre_2022-06-17,sum_ndre_2022-06-07,sum_ndre_2022-06-12
3942,0.0074764119600181,0.2127703350866087,0.1808441304228756,0.0384776496841147,0.219895889258849,-0.0170729657877585,0.1517137726781239,0.1237459981978032,0.1533328888835571,3942,0.5308252491612857,15.106693791149215,12.839933260024171,2.7319131275721493,15.612608137378285,-1.2121805709308555,10.771677860146797,8.785965872044027,10.88663511073256
4053,0.0087089333547304,0.2020584995264399,0.1650456686788255,-0.0195839866930479,0.1988123692947914,-0.0077377533792267,0.1348862907559904,0.1060430193136325,0.1287979661240226,4053,1.6895330708177,39.19934890812934,32.018859723692145,-3.799293418451296,38.569599643189534,-1.5011241555699846,26.167940406662147,20.572345746844704,24.986805428060386
4196,0.2045757792607901,0.1929386520555124,0.1567452417887679,-0.0114480870356029,0.1866423150688147,0.226346905325337,0.1286577624258592,0.0956563953504208,0.1170902026434265,4196,19.639274809035857,18.52211059732919,15.047543211721724,-1.0990163554178816,17.917662246606213,21.72930291123236,12.35114519288249,9.1830139536404,11.240659453768949
4422,-0.001837647991757,0.198716591902953,0.1813427211269491,-0.0028939568066261,0.2154282339398172,-0.0368779941542969,0.132829284745391,0.113878931586843,0.1360886120243491,4422,-0.104745935530154,11.32684573846832,10.336535104236098,-0.164955537977692,12.279409334569582,-2.1020456667949263,7.571269230487287,6.491099100450054,7.7570508853879
4424,-0.0467620928367819,0.2054815228036352,0.1857075772109727,-0.0053765417802805,0.2182370056311604,-0.0942551479805548,0.1451783818583132,0.1245556683893127,0.1482077987585986,4424,-1.7301974349609308,7.602816343734505,6.871180356805993,-0.1989320458703795,8.074769208352937,-3.487440475280528,5.37160012875759,4.608559730404573,5.48368855406815
3882,0.0005918491361654,0.2248652094663545,0.1896263304763206,0.0622455790079654,0.2335147099283531,-0.0181717554083066,0.1592563116713329,0.1295608956156735,0.1597153954878677,3882,0.0331435516252645,12.592451730115853,10.619074506673956,3.485752424446066,13.076823755987776,-1.0176183028651744,8.918353453594642,7.255410154477721,8.944062147320595
4732,0.2562454367678534,0.1777468812217337,0.1411333250735248,-0.0542809091984421,0.1700758344283176,0.2521103585630991,0.1141631686008887,0.0808824621679879,0.1019073532349795,4732,9.224835723642723,6.398887723982414,5.080799702646894,-1.9541127311439168,6.122730039419434,9.07597290827157,4.109874069631996,2.9117686380475645,3.668664716459263
3553,0.0367588233654958,0.1198552052130903,0.116411518588478,-0.0026436970959803,0.1065592903583344,0.0285438680720223,0.0762079476139548,0.0709527027739342,0.0599916891821797,3553,2.756911752412187,8.989140390981772,8.730863894135856,-0.1982772821985268,7.991946776875084,2.140790105401678,5.715596071046612,5.321452708045067,4.499376688663479
3582,0.1156269993239312,0.2160810915555255,0.1763527478857893,-0.0027948583043145,0.2092272416387304,0.0915893019374318,0.1440462280345384,0.1105699366616586,0.1315687306207059,3582,6.590738961464078,12.316622218664955,10.052106629489993,-0.1593069233459267,11.925952773407634,5.220590210433612,8.210634997968693,6.3024863897145424,7.499417645380239
3914,0.1725584709610202,0.31594087295828,0.2916764013118253,-0.0286903335370747,0.3645014865397951,0.1278668869317516,0.2102045460394906,0.2002812750448416,0.2433468893843765,3914,22.26004275397161,40.75637261161812,37.626255769225466,-3.701053026282645,47.020691763633565,16.494828414195958,27.11638643909429,25.83628448078457,31.39174873058457
3998,-0.0486202150538201,0.2271254970774861,0.2037151570546254,0.0113233313232644,0.2536537816786206,-0.0827527011734857,0.1514828089937198,0.1327443902774966,0.163391185620226,3998,-2.819972473121568,13.173278830494194,11.815479109168274,0.6567532167493401,14.711919337359996,-4.799656668062171,8.786002921635752,7.699174636094806,9.47668876597311
4156,-0.0225821375679074,0.2060104978023064,0.1776844864991618,0.016386303826855,0.2157059898192155,-0.059363197518252,0.1460674413507204,0.1222188411247505,0.1470378093436392,4156,-2.5066172700377227,22.867165256056012,19.722978001406965,1.8188797247809048,23.94336486993292,-6.589314924525973,16.213485989929968,13.566291364847306,16.321196837143958
4245,0.0023010493171388,0.1928255444572992,0.1849682632659965,0.0155281106495753,0.2131512015744318,-0.0390603244379114,0.1392278497002363,0.1344424764647228,0.1535825905203751,4245,0.0989451206369703,8.291498411663868,7.953635320437851,0.6677087579317379,9.165501667700571,-1.6795939508301907,5.986797537110164,5.78102648798308,6.604051392376132
4261,0.0001725277077452,0.1814643467980725,0.1644885149678532,0.0123272078779433,0.1828431890035062,-0.0143161076904791,0.1175212174800594,0.1064943238931965,0.1152343504217193,4261,0.0358857632110036,37.74458413399908,34.21361111331348,2.5640592386122094,38.0313833127293,-2.977750399619666,24.44441323585236,22.150819369784884,23.96874488771763
4263,0.1323246562004196,0.2218479000936428,0.2149171115771083,0.0326382998934491,0.2618118832222543,0.1487610008076806,0.1397778918424999,0.1435285260708006,0.1704884689453216,4263,13.232465620041967,22.18479000936428,21.49171115771084,3.263829989344912,26.18118832222543,14.876100080768062,13.977789184249998,14.35285260708006,17.048846894532165
