,mean_ndvi_2023-01-08,mean_ndvi_2023-01-03,mean_ndre_2023-01-08,mean_ndre_2023-01-03,sum_ndvi_2023-01-08,sum_ndvi_2023-01-03,sum_ndre_2023-01-08,sum_ndre_2023-01-03
0,0.004620153984221587,0.15145551067188692,-0.016162110482990415,0.08661784301163361,0.004620153984221587,0.15145551067188692,-0.016162110482990415,0.08661784301163361
1,0.0045369861247231144,0.12724780449162643,-0.017438109007068287,0.074093590644238,0.0045369861247231144,0.12724780449162643,-0.017438109007068287,0.074093590644238
2,0.016170286676439806,0.11784584472538007,0.007062075920191456,0.06987767916546582,0.016170286676439806,0.11784584472538007,0.007062075920191456,0.06987767916546582
3,-0.0001458729230495337,0.1341924794974601,-0.023897930231775912,0.08132003817364962,-0.0001458729230495337,0.1341924794974601,-0.023897930231775912,0.08132003817364962
4,-0.00017290243430005822,0.13523209888104948,-0.023880806017876774,0.08563593337069952,-0.00017290243430005822,0.13523209888104948,-0.023880806017876774,0.08563593337069952
5,0.0016123131612655838,0.16262420167048885,-0.020174141598595294,0.08947936224862592,0.0016123131612655838,0.16262420167048885,-0.020174141598595294,0.08947936224862592
6,0.008360003104184896,0.1420530930190325,-0.0013468848406938657,0.07459869605296393,0.008360003104184896,0.1420530930190325,-0.0013468848406938657,0.07459869605296393
7,0.004323226540260737,0.12116634823858022,-0.017864353196366752,0.07197753115900403,0.004323226540260737,0.12116634823858022,-0.017864353196366752,0.07197753115900403
8,0.010802065893629701,0.14817249083337092,0.001733612921301707,0.07720537145823665,0.010802065893629701,0.14817249083337092,0.001733612921301707,0.07720537145823665
9,0.00801496483913282,0.1907170353823949,-0.003305660469203707,0.11750293975154266,0.00801496483913282,0.1907170353823949,-0.003305660469203707,0.11750293975154266
10,0.008404701945525823,0.1749556079431174,-0.013873153191237973,0.09247048966230571,0.008404701945525823,0.1749556079431174,-0.013873153191237973,0.09247048966230571
11,0.005624529960006803,0.17425404270552036,-0.015095469094956593,0.09831950841226567,0.005624529960006803,0.17425404270552036,-0.015095469094956593,0.09831950841226567
12,0.005643529968510541,0.12268883190944864,-0.01658773962738037,0.09661947058912863,0.005643529968510541,0.12268883190944864,-0.01658773962738037,0.09661947058912863
13,0.008080935356864242,0.14479795369896165,-0.012345390468848453,0.07859878902713713,0.008080935356864242,0.14479795369896165,-0.012345390468848453,0.07859878902713713
14,0.008840193943670761,0.15029132959898445,-0.011941783508243448,0.0850646758877791,0.008840193943670761,0.15029132959898445,-0.011941783508243448,0.0850646758877791
15,0.0029195776540090162,0.14669080791897737,-0.01820885552153725,0.08152448178745848,0.0029195776540090162,0.14669080791897737,-0.01820885552153725,0.08152448178745848
16,0.0052871265268839744,0.1451071625983243,-0.012346873524087629,0.0801447950359134,0.0052871265268839744,0.1451071625983243,-0.012346873524087629,0.0801447950359134
17,0.012488856391982979,0.1573117355173421,0.0010056607569770585,0.09375767835213347,0.012488856391982979,0.1573117355173421,0.0010056607569770585,0.09375767835213347
18,0.0015815409043404098,0.17338377589989076,-0.021245156900505983,0.08902367788337154,0.0015815409043404098,0.17338377589989076,-0.021245156900505983,0.08902367788337154
19,0.006480275334776319,0.1528657497965628,-0.014755225335485886,0.09084951526083843,0.006480275334776319,0.1528657497965628,-0.014755225335485886,0.09084951526083843
20,0.0030681103904122713,0.1520143570977018,-0.01231906448176468,0.08037458033214924,0.0030681103904122713,0.1520143570977018,-0.01231906448176468,0.08037458033214924
21,0.006889065339770724,0.13459827769961796,-0.01479918995991021,0.0798027562015304,0.006889065339770724,0.13459827769961796,-0.01479918995991021,0.0798027562015304
22,0.008631515785139942,0.15940970339894223,-0.013356212466405304,0.10307368377437028,0.008631515785139942,0.15940970339894223,-0.013356212466405304,0.10307368377437028
23,0.006319426551786145,0.11673803656863417,-0.0168629100721563,0.08196776991806247,0.006319426551786145,0.11673803656863417,-0.0168629100721563,0.08196776991806247
24,7.091206995738659e-05,0.1328101218913874,-0.024533381947334187,0.07825303166180339,7.091206995738659e-05,0.1328101218913874,-0.024533381947334187,0.07825303166180339
